categoria,titulo,ano,url,arquivo
conto,Relíquias de Casa Velha,1906,https://machado.mec.gov.br/obra-completa-lista/item/download/24_938f74988ddbf449047ecc5c5b575985,pdf/conto/1906_reliquias_de_casa_velha.pdf
poesia,Dispersas,1854-1939,https://machado.mec.gov.br/obra-completa-lista/item/download/33_fdd28bd9d8c25b14cca68ead1fa7f863,pdf/poesia/1854_1939_dispersas.pdf
poesia,Crisálidas,1864,https://machado.mec.gov.br/obra-completa-lista/item/download/39_dd2452c9b71d8128c03090c3f389b88c,pdf/poesia/1864_crisalidas.pdf
poesia,Falenas,1870,https://machado.mec.gov.br/obra-completa-lista/item/download/38_29a69a98f7ef20b8d95274cd209322ff,pdf/poesia/1870_falenas.pdf
poesia,Americanas,1875,https://machado.mec.gov.br/obra-completa-lista/item/download/37_8fd73cd5dbac1ba1f24555965f1b8069,pdf/poesia/1875_americanas.pdf
poesia,Gazeta de Holanda,1886-1888,https://machado.mec.gov.br/obra-completa-lista/item/download/36_cf52cc1286dbfd064dd159d9070bfe62,pdf/poesia/1886_1888_gazeta_de_holanda.pdf
poesia,Ocidentais,1901,https://machado.mec.gov.br/obra-completa-lista/item/download/35_9d0bb1ba15355a7d94bf60884c45f621,pdf/poesia/1901_ocidentais.pdf
poesia,O Almada,1908,https://machado.mec.gov.br/obra-completa-lista/item/download/34_ff5cb8154b31a1046cad0acacaf5d256,pdf/poesia/1908_o_almada.pdf
cronica,Aquarelas,1859,https://machado.mec.gov.br/obra-completa-lista/item/download/62_e3bf116a00fa21fdaee678fb5de87655,pdf/cronica/1859_aquarelas.pdf
cronica,A reforma pelo jornal,1859,https://machado.mec.gov.br/obra-completa-lista/item/download/63_db0a7ea10d6f1ac516e2a82b8668ae8d,pdf/cronica/1859_a_reforma_pelo_jornal.pdf
cronica,O jornal e o livro,1859,https://machado.mec.gov.br/obra-completa-lista/item/download/64_740508795dff6e76435fcbbee1a1fb76,pdf/cronica/1859_o_jornal_e_o_livro.pdf
cronica,Comentários da semana,1861-1863,https://machado.mec.gov.br/obra-completa-lista/item/download/61_31588f38b2cdca0afb1c56e15b408e4f,pdf/cronica/1861_1863_comentarios_da_semana.pdf
cronica,Crônicas do Dr. Semana,1861-1864,https://machado.mec.gov.br/obra-completa-lista/item/download/60_91a8334e492806f21af56c0dc876db6f,pdf/cronica/1861_1864_cronicas_do_dr_semana.pdf
cronica,Crônicas - O futuro,1862-1863,https://machado.mec.gov.br/obra-completa-lista/item/download/59_a7145781a7ec71581370499bd10fca24,pdf/cronica/1862_1863_cronicas_o_futuro.pdf
cronica,Ao acaso,1864-1865,https://machado.mec.gov.br/obra-completa-lista/item/download/58_2661c528cc6a04510138db04073d221e,pdf/cronica/1864_1865_ao_acaso.pdf
cronica,Cartas fluminenses,1867,https://machado.mec.gov.br/obra-completa-lista/item/download/57_51493500c619499d4be6eb28d2c9e146,pdf/cronica/1867_cartas_fluminenses.pdf
cronica,Badaladas,1871-1873,https://machado.mec.gov.br/obra-completa-lista/item/download/56_2db3cff05ba7ec0bf66f754c4e64003c,pdf/cronica/1871_1873_badaladas.pdf
cronica,O Visconde de Castilho,1875,https://machado.mec.gov.br/obra-completa-lista/item/download/55_cadc27367c55c9fac81c6fc267caa362,pdf/cronica/1875_o_visconde_de_castilho.pdf
cronica,História de quinze dias,1876-1877,https://machado.mec.gov.br/obra-completa-lista/item/download/54_0f67daf8859721f5a06d7b380278f912,pdf/cronica/1876_1877_historia_de_quinze_dias.pdf
cronica,Notas semanais,1878,https://machado.mec.gov.br/obra-completa-lista/item/download/52_af1a7a50964e783ae6d59b9836fe7780,pdf/cronica/1878_notas_semanais.pdf
cronica,História dos trinta dias,1878,https://machado.mec.gov.br/obra-completa-lista/item/download/53_dc7eb38f77f58dd7de273f859f3634ec,pdf/cronica/1878_historia_dos_trinta_dias.pdf
cronica,Cherchez la femme,1881,https://machado.mec.gov.br/obra-completa-lista/item/download/51_e131a35e8b38615efe0170ae97236889,pdf/cronica/1881_cherchez_la_femme.pdf
cronica,José de Alencar,1883,https://machado.mec.gov.br/obra-completa-lista/item/download/49_492fe9783bd6d603755dad4d8a7ecdf5,pdf/cronica/1883_jose_de_alencar.pdf
cronica,Balas de estalo,1883-1886,https://machado.mec.gov.br/obra-completa-lista/item/download/50_6b062f029e266bb9dcd4b54c1b63aebf,pdf/cronica/1883_1886_balas_de_estalo.pdf
cronica,O futuro dos argentinos,1888,https://machado.mec.gov.br/obra-completa-lista/item/download/46_7a9e1522c9988e2e5beab787ef12189e,pdf/cronica/1888_o_futuro_dos_argentinos.pdf
cronica,Joaquim Serra,1888,https://machado.mec.gov.br/obra-completa-lista/item/download/48_41f1a2e27042587bc0ea82a752db89fe,pdf/cronica/1888_joaquim_serra.pdf
cronica,Bons dias,1888-1889,https://machado.mec.gov.br/obra-completa-lista/item/download/47_9f43b588353799b28d3220f4cde0f051,pdf/cronica/1888_1889_bons_dias.pdf
cronica,A semana,1892-1800,https://machado.mec.gov.br/obra-completa-lista/item/download/45_ea040963b104e779a661f26690195654,pdf/cronica/1892_1800_a_semana.pdf
cronica,Entre 1892 e 1894,1892-1894,https://machado.mec.gov.br/obra-completa-lista/item/download/44_efbda0d80ae2b6fd9a0cab326fad708c,pdf/cronica/1892_1894_entre_1892_e_1894.pdf
cronica,Henrique Chaves,1893,https://machado.mec.gov.br/obra-completa-lista/item/download/43_8fb7fed750b06713de49465b082e6f5f,pdf/cronica/1893_henrique_chaves.pdf
cronica,Henrique Lombaerts,1897,https://machado.mec.gov.br/obra-completa-lista/item/download/42_6b42d1e2d708d60bdb496ea71886f08e,pdf/cronica/1897_henrique_lombaerts.pdf
cronica,O velho Senado,1898,https://machado.mec.gov.br/obra-completa-lista/item/download/41_a7e9562f84316f673ba75cd8acfea0fe,pdf/cronica/1898_o_velho_senado.pdf
teatro,"Hoje avental, amanhã luva",1860,https://machado.mec.gov.br/obra-completa-lista/item/download/73_2456db395626c26eb37c60a13065caec,pdf/teatro/1860_hoje_avental_amanha_luva.pdf
teatro,Desencantos,1861,https://machado.mec.gov.br/obra-completa-lista/item/download/72_5fc184858b6f41854692f4482de43255,pdf/teatro/1861_desencantos.pdf
teatro,O caminho da porta/O protocolo,1863,https://machado.mec.gov.br/obra-completa-lista/item/download/71_981cc2f9596d08372e59a557b3aa0db9,pdf/teatro/1863_o_caminho_da_porta_o_protocolo.pdf
teatro,Quase ministro,1864,https://machado.mec.gov.br/obra-completa-lista/item/download/70_067aec1ff3277c907e09597f10f92789,pdf/teatro/1864_quase_ministro.pdf
teatro,Os deuses de casaca,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/69_1100ab900b7d267bebefa73123daae73,pdf/teatro/1866_os_deuses_de_casaca.pdf
teatro,O bote de rapé,1878,https://machado.mec.gov.br/obra-completa-lista/item/download/68_bdb812e25d1e74d1f4e25e6e16c52e17,pdf/teatro/1878_o_bote_de_rape.pdf
teatro,"Tu, só tu, puro amor",1880,https://machado.mec.gov.br/obra-completa-lista/item/download/67_263391b2ba34ee6f7a1f7bf7b63039f2,pdf/teatro/1880_tu_so_tu_puro_amor.pdf
teatro,Não consultes médico,1899,https://machado.mec.gov.br/obra-completa-lista/item/download/66_390921fb4791464b4885563dc04a042c,pdf/teatro/1899_nao_consultes_medico.pdf
teatro,Lição de botânica,1906,https://machado.mec.gov.br/obra-completa-lista/item/download/65_2b8fb9ad43aa37653a58bc2bd56e33aa,pdf/teatro/1906_licao_de_botanica.pdf
teatro,As forcas caudinas,1956,https://machado.mec.gov.br/obra-completa-lista/item/download/74_21c45fd1b821d0ebba482f03746c1d31,pdf/teatro/1956_as_forcas_caudinas.pdf
critica,"O Passado, o presente e o futuro da literatura",1858,https://machado.mec.gov.br/obra-completa-lista/item/download/119_ec79144c60084d0db9c43607aea29acf,pdf/critica/1858_o_passado_o_presente_e_o_futuro_da_literatura.pdf
critica,Revista dos teatros,1859,https://machado.mec.gov.br/obra-completa-lista/item/download/117_64ebf20b050d205ce767e347fcee4770,pdf/critica/1859_revista_dos_teatros.pdf
critica,Idéias sobre o teatro,1859,https://machado.mec.gov.br/obra-completa-lista/item/download/118_abf8892d55251c1c41a36f3a2638fdc4,pdf/critica/1859_ideias_sobre_o_teatro.pdf
critica,A Crítica teatral. José de Alencar: Mãe,1860,https://machado.mec.gov.br/obra-completa-lista/item/download/115_621e64c83ad88459ac9c521392367e7b,pdf/critica/1860_a_critica_teatral_jose_de_alencar_mae.pdf
critica,Revista Dramática,1860,https://machado.mec.gov.br/obra-completa-lista/item/download/116_c5058b5e27086aa7f3fa5babfb0fe1e7,pdf/critica/1860_revista_dramatica.pdf
critica,"Flores e Frutos, de Bruno Seabra",1862,https://machado.mec.gov.br/obra-completa-lista/item/download/113_2494e73f752ddec10ef00164e662fb37,pdf/critica/1862_flores_e_frutos_de_bruno_seabra.pdf
critica,Crítica variada - Diário do RJ,1862,https://machado.mec.gov.br/obra-completa-lista/item/download/114_300b91eab9a0a0e2333d414420ba7c39,pdf/critica/1862_critica_variada_diario_do_rj.pdf
critica,Pareceres - Conservatório Dramático,1862 - 1864,https://machado.mec.gov.br/obra-completa-lista/item/download/112_5f6ed6ebdd45cd22a4c0d138176c2aa5,pdf/critica/1862_1864_pareceres_conservatorio_dramatico.pdf
critica,"Revelações, de A. E. Zaluar",1863,https://machado.mec.gov.br/obra-completa-lista/item/download/109_c07359bd2c22aaa2e21a11643600752d,pdf/critica/1863_revelacoes_de_a_e_zaluar.pdf
critica,"Peregrinação pela província de S. Paulo, por A. E. Zaluar",1863,https://machado.mec.gov.br/obra-completa-lista/item/download/110_5a6e6c92a2b2b977cfeebd3f575cc411,pdf/critica/1863_peregrinacao_pela_provincia_de_s_paulo_por_a_e_zaluar.pdf
critica,Homem de Mello e B. Pinheiro – A Constituinte perante a História e Sombras e Luz,1863,https://machado.mec.gov.br/obra-completa-lista/item/download/111_729fca7fae6ffa32f4e2a1955b93c9ef,pdf/critica/1863_homem_de_mello_e_b_pinheiro_a_constituinte_perante_a_historia_e_sombras_e_luz.pdf
critica,O Ideal do crítico,1865,https://machado.mec.gov.br/obra-completa-lista/item/download/107_128211801a2d496ca76d98609f0fe81f,pdf/critica/1865_o_ideal_do_critico.pdf
critica,Dois folhetins. Suplício de uma mulher,1865,https://machado.mec.gov.br/obra-completa-lista/item/download/108_865d403df3bde293799a22a45a2ac209,pdf/critica/1865_dois_folhetins_suplicio_de_uma_mulher.pdf
critica,Propósito,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/99_b9dd7c9aade8d11b991496d1e177290f,pdf/critica/1866_proposito.pdf
critica,Porto Alegre: Colombo,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/100_bb3e3e5fc15cba1db53ae1223b2721dd,pdf/critica/1866_porto_alegre_colombo.pdf
critica,Junqueira Freire: Inspirações do claustro,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/101_97b4c5683060948000a5a3fdf295eab8,pdf/critica/1866_junqueira_freire_inspiracoes_do_claustro.pdf
critica,José de Alencar: Iracema,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/102_172f52621103b604c77a48daed4e3407,pdf/critica/1866_jose_de_alencar_iracema.pdf
critica,J.M. de Macedo: O culto do dever,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/103_3e7531158a0b737f1d9ce050428ccaa7,pdf/critica/1866_j_m_de_macedo_o_culto_do_dever.pdf
critica,Fagundes Varela – Cantos e fantasias,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/104_68e6610772d22d98f16e2863f4e51fd4,pdf/critica/1866_fagundes_varela_cantos_e_fantasias.pdf
critica,Crítica teatral,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/105_98fa96c8e5f36d9507719b78a5e061c3,pdf/critica/1866_critica_teatral.pdf
critica,Álvares de Azevedo: Lira dos vinte anos,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/106_cac9adc4604495e4d867b1880e7f8b99,pdf/critica/1866_alvares_de_azevedo_lira_dos_vinte_anos.pdf
critica,Castro Alves,1868,https://machado.mec.gov.br/obra-completa-lista/item/download/98_dc283ffba631963322e28576f30f4016,pdf/critica/1868_castro_alves.pdf
critica,"Un cuento endemoniado e La mujer misteriosa, de Guilherme Malta",1872,https://machado.mec.gov.br/obra-completa-lista/item/download/96_b58c7cc9fdcc543c2cfff4547faf37aa,pdf/critica/1872_un_cuento_endemoniado_e_la_mujer_misteriosa_de_guilherme_malta.pdf
critica,Lúcio de Mendonça: Névoas matutinas,1872,https://machado.mec.gov.br/obra-completa-lista/item/download/97_5037263716dfe6ddb71387cfe516edc6,pdf/critica/1872_lucio_de_mendonca_nevoas_matutinas.pdf
critica,Notícia da atual literatura brasileira: Instinto de nacionalidade,1873,https://machado.mec.gov.br/obra-completa-lista/item/download/95_a034209a67594696a9b556534ff73116,pdf/critica/1873_noticia_da_atual_literatura_brasileira_instinto_de_nacionalidade.pdf
critica,Fagundes Varela,1875,https://machado.mec.gov.br/obra-completa-lista/item/download/94_8f23cd9b09386e2a42f67e250fd6ec8a,pdf/critica/1875_fagundes_varela.pdf
critica,Francisco de Castro: Harmonias errantes,1878,https://machado.mec.gov.br/obra-completa-lista/item/download/92_589d30e201b1d7dc98c9e1833903ebc8,pdf/critica/1878_francisco_de_castro_harmonias_errantes.pdf
critica,Eça de Queirós: O primo Basílio,1878,https://machado.mec.gov.br/obra-completa-lista/item/download/93_ba9e781d3821d32a9cbffc78fbfa5bda,pdf/critica/1878_eca_de_queiros_o_primo_basilio.pdf
critica,A Nova geração,1879,https://machado.mec.gov.br/obra-completa-lista/item/download/91_d8b5f77c1aa58ad5f5bb8473b91b45f0,pdf/critica/1879_a_nova_geracao.pdf
critica,Raimundo Correia: Sinfonias,1882,https://machado.mec.gov.br/obra-completa-lista/item/download/89_671ed34cbd6ed9235a6d847c3d1b09df,pdf/critica/1882_raimundo_correia_sinfonias.pdf
critica,Carlos Jansen: Contos seletos das mil e uma noites,1882,https://machado.mec.gov.br/obra-completa-lista/item/download/90_f403d0d10719f89023f56dc38d5efff4,pdf/critica/1882_carlos_jansen_contos_seletos_das_mil_e_uma_noites.pdf
critica,Alberto de Oliveira: Meridionais,1884,https://machado.mec.gov.br/obra-completa-lista/item/download/88_33303d7e98210297109b803b8314a417,pdf/critica/1884_alberto_de_oliveira_meridionais.pdf
critica,Enéias Galvão: Miragens,1885,https://machado.mec.gov.br/obra-completa-lista/item/download/87_453aa9319252caf00a071a63a4ed8ee1,pdf/critica/1885_eneias_galvao_miragens.pdf
critica,L. L. Fernandes Pinheiro Júnior: Tipos e quadros,1886,https://machado.mec.gov.br/obra-completa-lista/item/download/86_cce92fc04d5ccb32430670b71477b0e4,pdf/critica/1886_l_l_fernandes_pinheiro_junior_tipos_e_quadros.pdf
critica,José de Alencar: O Guarani,1887,https://machado.mec.gov.br/obra-completa-lista/item/download/85_db3acecf34e1fdb1df8a3effc98ec85e,pdf/critica/1887_jose_de_alencar_o_guarani.pdf
critica,Henriqueta Renan,1896,https://machado.mec.gov.br/obra-completa-lista/item/download/84_92f24dbcccf89ed9a7300e5c39e5d3c5,pdf/critica/1896_henriqueta_renan.pdf
critica,Discursos na Academia Brasileira de Letras,1897,https://machado.mec.gov.br/obra-completa-lista/item/download/83_563fe56ba81218d25f2e9884ed2110fd,pdf/critica/1897_discursos_na_academia_brasileira_de_letras.pdf
critica,Magalhães de Azeredo: Procelárias,1898,https://machado.mec.gov.br/obra-completa-lista/item/download/82_79e4387ca859b106e3a11c8a257f1cee,pdf/critica/1898_magalhaes_de_azeredo_procelarias.pdf
critica,Garrett,1899,https://machado.mec.gov.br/obra-completa-lista/item/download/80_4271875f40dee8df864ddf484e5867e5,pdf/critica/1899_garrett.pdf
critica,"Cenas da vida amazônica, de José Veríssimo",1899,https://machado.mec.gov.br/obra-completa-lista/item/download/81_c9aa6d7ecd84c33b49c6b8ce01fcb056,pdf/critica/1899_cenas_da_vida_amazonica_de_jose_verissimo.pdf
critica,Eça de Queirós,1900,https://machado.mec.gov.br/obra-completa-lista/item/download/79_3b9ebc3fdfd069413aa271ac265adf71,pdf/critica/1900_eca_de_queiros.pdf
critica,Eduardo Prado,1901,https://machado.mec.gov.br/obra-completa-lista/item/download/78_d3f21bcf397dc51d35b046eb8455c72d,pdf/critica/1901_eduardo_prado.pdf
critica,Magalhães de Azeredo e Mário de Alencar: Horas sagradas e Versos,1902,https://machado.mec.gov.br/obra-completa-lista/item/download/77_e60f94a84b7195a74649e367cc6ca504,pdf/critica/1902_magalhaes_de_azeredo_e_mario_de_alencar_horas_sagradas_e_versos.pdf
critica,Oliveira Lima: Secretário d'el-rei,1904,https://machado.mec.gov.br/obra-completa-lista/item/download/76_1b7ecc80e7758c5a0daa8b662347bb10,pdf/critica/1904_oliveira_lima_secretario_d_el_rei.pdf
critica,Joaquim Nabuco: Pensées détachées et souvenirs,1906,https://machado.mec.gov.br/obra-completa-lista/item/download/75_8bb64258342b5ab205ffb89bae345a1b,pdf/critica/1906_joaquim_nabuco_pensees_detachees_et_souvenirs.pdf
traducao,Suplício de uma mulher,1865,https://machado.mec.gov.br/obra-completa-lista/item/download/122_460dea0cb1063340b4daeb1724cd5525,pdf/traducao/1865_suplicio_de_uma_mulher.pdf
traducao,Os trabalhadores do mar,1866,https://machado.mec.gov.br/obra-completa-lista/item/download/121_d5bb3fa36ae3c0d1f136d2190a209213,pdf/traducao/1866_os_trabalhadores_do_mar.pdf
traducao,Oliver Twist,1870,https://machado.mec.gov.br/obra-completa-lista/item/download/120_031c6366de1a2c89eabf5d83e1928536,pdf/traducao/1870_oliver_twist.pdf
miscelanea,Os imortais,1859,https://machado.mec.gov.br/obra-completa-lista/item/download/132_0af31ceb4dfe012aaa6ce7b7c9e11373,pdf/miscelanea/1859_os_imortais.pdf
miscelanea,Queda que as mulheres têm para os tolos,1861,https://machado.mec.gov.br/obra-completa-lista/item/download/131_3c8cea5509d680ffc00f882219bb9e7f,pdf/miscelanea/1861_queda_que_as_mulheres_tem_para_os_tolos.pdf
miscelanea,Carta ao Sr. Bispo do RJ,1862,https://machado.mec.gov.br/obra-completa-lista/item/download/130_6de80b3d1f80021f46d6354d5cc46f31,pdf/miscelanea/1862_carta_ao_sr_bispo_do_rj.pdf
miscelanea,Carta à redação da Imprensa Acadêmica,1864,https://machado.mec.gov.br/obra-completa-lista/item/download/129_578cd14f6c7d3f419da51179a0d27387,pdf/miscelanea/1864_carta_a_redacao_da_imprensa_academica.pdf
miscelanea,Pedro Luís,1884,https://machado.mec.gov.br/obra-completa-lista/item/download/128_807cb64613e2b6ad056b302e6ef7717d,pdf/miscelanea/1884_pedro_luis.pdf
miscelanea,A morte de Francisco Otaviano,1889,https://machado.mec.gov.br/obra-completa-lista/item/download/127_f2a7e546bef1d4aa44c9885a70683f8b,pdf/miscelanea/1889_a_morte_de_francisco_otaviano.pdf
miscelanea,Secretaria de Agricultura,1890,https://machado.mec.gov.br/obra-completa-lista/item/download/126_7d13bd25e70f5cbe3ca18f2234fc8c46,pdf/miscelanea/1890_secretaria_de_agricultura.pdf
miscelanea,A Paixão de Jesus,1904,https://machado.mec.gov.br/obra-completa-lista/item/download/125_23c1542bc7b8ebe97b571f4e64f778d9,pdf/miscelanea/1904_a_paixao_de_jesus.pdf
miscelanea,A Estátua de José de Alencar,1906,https://machado.mec.gov.br/obra-completa-lista/item/download/123_17e6565ba8b4ece672bc1d7fef6d2668,pdf/miscelanea/1906_a_estatua_de_jose_de_alencar.pdf
miscelanea,Gonçalves Dias,1906,https://machado.mec.gov.br/obra-completa-lista/item/download/124_38f9cf3497ecf2075238d47ed63e6b28,pdf/miscelanea/1906_goncalves_dias.pdf
